sub_id,group_id,t1_01,t1_02,t1_03,t1_04,t1_05,t1_06,t1_07,t1_08,t1_09,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t2_01,t2_02,t2_03,t2_04,t2_05,t2_06,t2_07,t2_08,t2_09,t2_10,t2_11,t2_12,t2_13,t2_14,t2_15,t2_16,t2_17,t3_01,t3_02,t3_03,t3_04,t3_05,t3_06,t3_07,t3_08,t3_09,t3_10,t3_11,t3_12,t3_13,t3_14,t3_15,t3_16,t3_17,t4_01,t4_02,t4_03,t4_04,t4_05,t4_06,t4_07,t4_08,t4_09,t4_10,t4_11,t4_12,t4_13,t4_14,t4_15,t4_16,t4_17
s001,1,6,5,7,4,5,7,4,6,6,5,4,4,2,5,4,2,2,5,4,4,4,4,4,5,4,4,5,3,4,3,4,4,3,2,5,5,5,5,4,6,5,4,6,5,4,4,4,5,4,3,2,4,5,4,4,4,5,4,4,5,5,4,4,4,5,5,4,2
s002,1,4,2,7,2,3,2,3,7,7,5,2,7,3,4,3,7,2,3,2,7,2,3,2,4,7,2,6,2,7,2,2,3,7,2,2,2,7,2,2,3,4,7,3,2,2,7,2,4,2,7,2,2,2,7,3,2,3,4,7,3,4,3,7,2,4,3,7,2
s003,1,4,2,5,3,5,2,5,2,4,5,3,2,3,3,3,3,1,5,3,3,4,5,2,5,4,2,5,2,6,2,5,2,7,2,5,4,3,3,4,4,4,3,4,6,3,3,2,6,4,7,2,3,2,2,3,3,4,4,4,2,5,2,3,3,5,3,7,2
s004,1,6,3,6,3,5,4,5,4,4,6,3,6,4,5,5,6,4,5,4,6,5,5,4,6,6,3,6,3,7,5,5,5,7,4,5,3,6,3,5,4,5,6,4,5,3,7,5,5,5,7,3,4,3,6,3,5,4,6,6,4,6,3,7,4,4,5,7,4
s005,1,5,2,7,2,6,2,7,7,3,7,2,7,5,3,5,7,4,6,3,7,3,6,2,7,6,3,7,2,7,6,3,6,7,4,6,3,7,3,6,3,7,7,3,7,2,2,6,2,6,7,4,6,2,5,2,5,3,6,5,2,6,2,3,5,3,5,6,4
s008,1,6,3,6,3,6,5,6,7,2,7,2,6,5,4,6,6,5,6,3,6,3,6,5,6,6,4,6,3,6,6,4,6,6,6,6,4,6,3,6,5,6,6,3,6,3,6,6,4,6,6,6,6,3,6,3,6,5,6,6,3,6,4,6,6,4,6,6,6
s011,1,3,2,6,3,5,4,4,3,3,5,3,5,5,1,6,6,4,6,5,6,5,5,5,5,5,5,6,4,5,5,5,5,5,6,6,6,6,6,5,6,3,6,5,3,4,5,3,5,4,5,3,5,5,5,3,5,4,4,5,3,4,3,5,5,2,5,5,5
s013,1,4,6,6,5,4,4,4,5,5,5,5,4,4,5,4,4,3,4,4,3,3,3,4,4,4,2,4,4,5,3,4,3,4,3,3,4,4,3,3,4,4,4,3,4,4,5,4,5,3,5,3,3,4,4,4,3,4,4,3,4,4,4,5,3,5,3,5,3
s015,1,4,1,4,3,4,4,6,4,3,7,2,1,5,3,4,7,3,4,3,3,3,4,4,5,2,2,7,3,5,4,5,4,7,1,2,3,3,3,3,4,5,3,3,5,3,6,4,5,3,7,1,3,3,2,3,4,4,6,3,3,7,3,5,4,5,3,6,2
s017,1,6,1,7,2,6,2,6,4,1,7,1,2,5,1,5,4,3,7,4,6,3,6,3,7,7,3,7,2,6,5,5,6,7,3,6,4,6,3,5,4,6,6,3,7,3,7,6,4,5,7,2,6,4,6,2,5,3,6,6,3,7,3,6,5,4,5,7,3
s023,1,4,3,6,3,5,4,7,4,4,5,4,6,5,5,4,7,4,5,4,6,3,6,4,7,6,4,6,3,6,5,5,5,7,5,5,4,5,3,6,4,6,4,4,6,3,6,5,4,5,7,5,4,3,6,3,4,4,6,5,4,6,2,5,5,4,4,7,4
s024,1,5,3,6,3,5,2,7,5,6,6,2,7,5,4,4,6,2,5,3,5,4,5,4,6,4,4,7,3,6,5,5,5,6,2,5,4,4,4,5,5,6,4,4,6,4,6,5,5,5,6,2,4,4,4,5,5,5,6,4,5,6,4,6,4,6,5,6,2
s025,1,4,5,7,3,5,6,5,7,6,7,5,4,4,6,5,7,2,4,5,4,3,5,5,6,4,6,7,4,2,3,5,4,7,2,4,5,4,5,5,6,5,5,5,7,6,6,2,7,5,7,5,4,5,5,4,5,6,5,4,5,6,6,3,3,6,4,7,4
s026,1,4,3,7,4,5,4,4,5,5,6,3,7,3,4,4,7,2,4,3,7,4,4,4,6,6,5,6,3,4,7,4,4,3,1,5,5,7,4,4,6,5,5,5,7,5,4,6,4,4,7,1,5,4,6,4,3,5,5,4,5,6,4,2,6,5,4,7,1
s028,1,3,3,5,3,3,2,6,4,3,4,3,4,4,3,3,5,2,4,4,4,4,3,4,3,6,5,5,3,5,4,5,4,6,3,4,4,5,4,4,5,4,5,5,5,5,5,3,6,4,6,4,4,4,5,5,4,5,4,5,5,4,4,5,3,6,3,6,3
s031,1,5,4,4,3,6,3,5,5,4,6,2,4,4,5,5,5,1,3,4,6,3,4,3,3,4,3,6,3,3,4,5,3,5,1,2,1,4,3,3,2,1,4,4,7,3,4,2,6,2,5,1,3,4,5,2,2,1,2,4,3,6,2,4,4,5,2,5,1
s033,1,2,3,5,3,2,4,3,6,3,6,3,7,2,3,1,7,1,3,3,5,3,4,4,5,4,3,7,3,4,3,5,3,7,2,3,4,3,4,4,5,5,4,4,7,4,5,3,6,3,7,2,3,4,4,3,3,4,3,4,4,6,4,6,3,6,3,7,2
s034,1,7,7,7,7,7,7,7,7,6,7,5,4,7,5,7,7,7,7,5,7,6,7,7,7,7,4,7,4,7,7,5,7,7,7,7,4,7,5,7,6,7,7,4,7,4,7,7,4,7,7,7,7,5,7,5,7,7,7,7,4,7,5,7,7,5,7,7,7
s037,1,5,6,6,4,5,4,5,7,5,7,5,7,5,5,5,7,1,7,7,7,4,6,7,6,6,6,6,6,6,4,6,6,7,2,5,5,6,4,5,4,6,7,4,6,4,7,4,3,6,7,2,5,5,6,4,5,4,6,7,4,6,4,6,3,5,5,7,2
s038,1,6,5,5,6,6,5,6,3,4,6,5,4,4,5,6,6,4,7,4,4,4,6,5,7,4,4,7,4,5,6,3,6,6,5,6,6,3,6,6,7,6,3,5,6,6,4,5,6,6,6,5,6,6,4,6,6,6,6,4,5,6,6,4,5,6,6,6,5
s039,1,5,2,7,3,6,3,5,7,4,6,2,6,4,4,5,7,3,4,2,6,3,6,3,5,6,3,7,2,7,3,2,4,7,3,4,3,7,3,4,3,5,7,4,6,2,7,4,3,4,7,3,4,2,7,3,4,3,4,7,4,5,2,7,3,2,4,7,3
s040,1,5,3,7,3,4,4,5,7,5,7,2,6,5,2,4,7,2,5,5,7,5,5,6,5,7,6,7,4,6,4,5,4,7,2,4,5,6,5,4,6,5,6,6,7,5,6,4,5,4,6,3,3,5,6,5,4,6,4,6,5,6,4,6,4,5,3,6,3
s041,1,5,5,6,5,5,6,5,5,5,7,4,6,5,5,4,7,4,5,6,5,5,6,6,5,5,5,6,5,7,4,5,4,7,4,5,5,5,5,4,6,4,5,5,4,4,7,4,6,4,6,3,3,4,5,5,4,5,5,5,5,5,4,6,4,5,3,6,3
s044,1,5,2,7,1,5,3,3,6,2,5,1,7,3,2,5,7,2,5,3,7,2,4,4,4,7,4,6,2,7,3,3,3,7,2,5,4,7,3,5,4,4,7,4,6,2,7,3,3,4,7,2,4,4,7,3,4,4,4,7,4,5,2,7,3,3,4,7,3
s045,1,3,2,7,3,5,4,6,7,3,6,4,7,3,6,5,7,2,4,3,7,4,6,4,6,7,5,7,3,7,5,5,5,7,2,5,4,7,4,4,4,5,7,3,5,3,7,3,5,5,7,1,5,4,7,3,5,3,5,7,5,6,3,7,4,3,5,7,2
s050,1,5,2,7,2,5,4,5,7,4,6,2,5,5,4,5,6,2,4,3,7,3,4,3,6,7,3,6,3,6,3,4,5,6,2,4,3,7,3,4,3,5,5,4,5,2,6,4,4,5,6,3,4,4,7,3,4,4,6,7,4,6,4,6,3,5,4,6,3
s051,1,7,5,5,4,7,4,6,1,7,4,5,1,3,5,5,6,3,7,5,4,4,6,4,6,2,7,5,5,3,4,5,6,6,4,6,6,2,4,5,4,5,2,7,5,5,3,4,4,5,5,4,6,6,3,5,4,4,4,2,5,5,3,4,4,6,4,6,4
s057,1,3,1,6,1,4,4,6,4,4,4,3,5,4,5,6,7,4,4,2,7,1,5,2,5,5,4,3,1,7,4,2,4,7,3,4,1,7,1,4,1,4,7,4,4,1,7,4,1,4,7,4,4,1,7,1,4,3,4,7,2,4,1,7,4,1,4,7,4
s058,1,4,3,7,4,4,5,5,7,6,6,4,6,3,5,4,7,3,5,5,7,4,4,5,6,7,6,6,4,7,4,5,4,7,5,4,5,7,5,5,5,6,7,6,6,5,6,5,6,5,7,4,4,5,7,4,4,6,4,6,6,6,5,6,3,5,4,6,3
s059,1,7,5,6,6,7,6,7,6,6,6,6,6,6,6,6,7,6,6,5,7,5,6,6,7,7,5,7,5,7,6,3,6,7,6,6,5,6,5,6,6,6,7,6,7,5,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,7,6,6,6,7,6
s061,1,3,3,4,3,4,5,4,4,3,6,3,6,2,6,2,5,2,3,4,3,2,4,5,5,4,3,7,3,6,5,5,4,6,2,3,4,3,2,4,4,6,4,4,6,4,5,4,5,3,6,2,3,3,4,2,4,4,4,4,3,6,4,4,4,5,2,6,2
s063,1,4,3,5,4,5,5,5,6,5,6,3,6,5,5,5,5,3,4,2,5,2,4,3,5,5,2,6,3,6,6,3,5,6,2,4,4,5,3,3,5,5,4,4,6,3,5,5,5,5,6,3,4,4,5,4,5,5,5,5,4,6,3,6,4,5,5,6,3
s064,1,6,2,7,3,7,6,7,7,5,7,4,4,5,3,7,4,7,7,6,7,6,6,7,7,7,6,7,5,6,7,3,7,5,6,6,5,7,5,6,6,5,5,6,7,2,5,6,5,6,6,5,6,5,4,3,6,6,6,5,5,7,5,5,7,5,6,6,5
s065,1,4,3,7,2,4,3,5,4,4,7,3,6,4,4,5,4,3,5,5,5,6,6,6,5,5,6,5,5,5,5,5,6,3,3,6,5,6,5,6,6,6,6,5,6,5,5,6,5,5,3,3,5,5,5,6,6,5,6,5,6,6,5,5,6,5,5,3,4
s070,1,6,4,6,3,6,4,6,5,4,7,3,7,5,4,5,7,4,5,3,6,2,5,3,6,6,3,7,3,7,5,4,5,7,4,5,3,6,2,5,3,6,6,3,6,3,7,5,4,5,7,4,6,3,6,2,5,3,6,6,3,6,3,6,6,4,5,7,3
s071,1,5,3,7,3,5,4,5,7,4,7,4,7,4,5,4,7,3,4,4,6,4,4,4,5,6,4,5,4,6,3,5,3,7,3,4,5,6,4,4,5,5,7,4,7,4,7,4,5,5,7,4,4,4,7,4,4,4,6,7,4,5,4,6,4,5,4,6,3
s074,1,4,3,7,3,5,4,4,6,6,6,4,3,6,4,5,7,1,5,5,6,3,5,5,4,4,3,5,3,4,5,4,5,7,1,5,4,5,3,5,5,4,5,3,6,4,4,5,4,5,7,1,5,4,5,4,5,5,4,4,3,6,3,4,5,4,5,7,2
s076,1,7,4,7,3,7,5,7,7,5,7,4,7,6,5,6,7,3,6,6,7,5,6,7,7,7,5,7,5,7,6,6,6,7,2,6,5,7,5,6,5,7,7,6,7,5,7,6,5,6,7,2,6,5,7,5,6,5,6,7,5,7,5,7,6,5,6,7,2
s006,2,6,3,2,3,6,3,6,1,2,7,3,2,4,4,5,7,2,2,1,2,1,7,1,7,6,1,7,1,7,6,1,5,1,3,3,1,2,1,7,2,7,5,1,7,1,6,6,1,6,1,1,5,2,2,4,5,1,7,5,1,7,1,6,5,2,5,3,1
s007,2,3,1,7,5,2,4,1,7,5,5,2,4,5,3,4,4,5,4,2,5,5,2,3,2,6,4,6,2,4,5,6,5,5,4,2,2,5,3,2,2,3,5,3,5,2,4,5,1,4,5,2,2,3,5,3,1,4,3,5,4,6,3,3,5,5,2,6,1
s009,2,3,1,4,2,3,1,6,3,1,6,2,4,3,2,4,6,1,3,2,2,1,3,1,6,2,1,5,1,4,3,2,3,5,2,2,1,3,1,4,2,5,3,1,6,1,5,3,2,3,6,1,3,2,2,1,3,2,5,3,1,6,1,4,3,2,3,5,2
s010,2,4,4,7,5,4,4,3,2,4,5,3,2,2,3,3,7,2,3,5,7,5,2,4,4,7,3,4,4,7,3,4,4,7,1,2,1,7,3,3,1,4,7,3,4,3,7,3,2,3,7,2,4,3,7,4,3,3,4,7,4,5,3,7,3,3,3,7,2
s012,2,5,3,7,4,5,4,6,6,4,7,3,7,6,4,5,7,2,5,2,6,3,5,3,6,7,3,7,3,6,5,4,5,7,3,5,3,6,3,5,3,7,6,3,6,2,7,5,4,5,7,2,5,3,6,3,5,3,6,6,3,7,3,7,5,4,5,7,3
s014,2,4,2,6,2,4,3,5,6,3,6,2,6,4,2,4,6,3,6,2,6,2,5,3,6,6,3,5,2,5,5,2,5,5,4,5,2,6,2,5,3,5,6,3,5,2,5,5,2,5,5,4,6,2,5,2,6,3,6,5,3,5,2,5,5,2,5,6,4
s016,2,6,5,7,6,5,6,5,7,6,6,5,7,5,5,5,6,4,5,4,7,4,5,5,5,7,4,6,4,7,5,4,5,7,4,5,3,7,4,5,4,6,7,3,7,3,7,4,3,5,7,4,5,4,7,4,5,4,5,7,4,7,3,6,5,4,5,7,3
s018,2,4,3,4,2,4,4,6,4,1,7,2,7,5,3,5,5,3,5,2,5,2,5,2,7,4,1,7,1,7,5,1,5,7,4,6,1,5,1,7,1,7,5,1,7,1,7,6,1,6,5,5,5,1,5,1,6,1,7,5,1,7,1,7,6,1,6,6,5
s019,2,5,2,7,1,6,2,6,5,3,6,2,6,3,2,4,6,2,5,2,5,2,6,3,6,5,4,6,3,6,5,5,5,6,2,4,3,5,2,6,3,6,5,3,6,2,5,5,5,5,6,3,5,3,5,2,6,3,6,6,3,6,3,6,5,3,6,6,3
s020,2,4,2,6,2,5,4,6,5,1,6,2,5,3,3,4,6,1,3,2,4,2,3,2,5,3,1,6,1,6,3,3,4,6,1,3,2,4,2,4,2,5,4,2,6,1,6,3,3,4,6,1,3,1,4,2,4,2,6,3,2,6,1,6,3,3,4,7,1
s021,2,4,3,6,3,7,5,6,6,4,7,5,5,7,1,7,3,5,7,4,7,4,7,5,7,6,3,7,5,4,7,2,7,3,5,7,6,4,5,7,5,7,4,5,7,5,6,7,4,7,5,3,7,5,7,5,7,5,7,6,5,7,5,7,7,4,7,6,3
s022,2,4,4,6,4,4,4,5,4,5,6,4,6,4,5,4,7,2,4,4,4,3,5,4,5,4,4,5,3,5,5,4,5,7,3,5,2,3,2,5,4,6,3,3,7,2,5,4,5,5,7,2,4,3,4,4,5,4,5,3,4,6,3,4,5,4,5,6,2
s027,2,4,3,6,3,4,4,4,7,3,7,3,4,3,3,3,5,1,3,3,6,2,3,3,3,4,2,7,2,5,3,2,3,5,1,2,3,5,1,2,2,3,5,2,7,1,6,1,1,2,6,1,2,2,5,2,2,1,2,5,2,7,1,6,2,2,2,3,1
s029,2,3,1,6,2,3,3,3,6,4,4,2,6,3,2,2,7,2,4,3,6,3,4,3,3,6,2,3,2,6,3,2,3,6,3,2,2,6,2,3,3,2,6,3,3,2,6,3,2,3,6,2,3,2,6,3,3,3,3,6,3,3,3,3,3,3,3,6,2
s030,2,4,4,7,3,4,5,4,7,3,1,4,7,4,2,4,7,2,5,3,7,3,5,3,5,7,3,6,3,7,4,2,5,7,4,4,3,7,3,4,3,4,7,2,5,2,7,4,2,4,7,3,3,2,7,2,3,3,3,7,3,5,3,7,4,2,3,7,3
s032,2,4,2,6,2,4,5,3,7,1,6,2,6,4,2,4,5,3,4,3,6,2,5,3,6,6,3,7,2,7,5,4,6,7,4,4,2,6,4,5,3,5,6,3,3,2,7,3,2,4,7,2,4,2,6,2,3,3,4,6,1,5,2,7,4,2,3,6,2
s035,2,5,3,4,3,5,4,5,3,2,5,3,4,2,2,4,3,3,3,1,3,2,3,2,4,3,1,3,2,5,4,1,3,2,2,3,1,2,1,2,1,4,3,1,6,1,4,3,1,3,3,1,3,1,3,1,3,1,4,3,1,5,1,5,3,1,3,3,2
s036,2,4,5,7,5,5,5,4,6,6,5,6,7,6,6,4,7,3,5,2,7,3,5,3,6,6,2,7,1,6,6,6,4,7,3,5,1,6,2,5,3,6,5,1,7,1,7,6,6,5,7,3,4,2,6,3,6,2,4,6,2,6,2,6,4,6,3,6,1
s042,2,5,3,6,3,5,4,6,5,5,7,3,6,4,5,4,6,3,3,1,7,2,5,1,6,6,2,7,2,6,6,2,4,7,3,4,1,6,1,4,2,6,6,1,7,1,7,3,2,4,6,2,5,1,6,2,5,2,6,6,2,7,1,6,4,3,5,6,2
s043,2,4,3,7,4,4,6,5,7,5,7,4,3,3,4,4,7,2,4,3,7,2,5,3,5,7,3,6,4,7,5,3,5,4,2,3,5,7,3,3,4,2,7,5,4,4,6,2,5,3,4,2,4,5,6,4,3,4,3,6,5,4,4,5,3,5,2,4,2
s046,2,5,3,6,3,5,3,7,4,3,6,3,3,3,3,4,5,3,5,4,4,3,4,4,6,4,3,6,3,4,4,3,4,6,4,6,4,5,4,5,5,6,4,5,6,4,4,4,4,5,6,2,4,4,4,3,4,4,6,3,3,6,3,4,4,3,4,6,2
s047,2,4,5,6,5,4,6,3,6,6,5,4,6,4,6,4,6,3,4,2,6,3,4,2,4,6,2,5,2,6,4,2,4,6,3,3,1,6,1,3,1,3,6,2,4,1,6,3,2,3,6,2,4,1,6,1,3,1,3,6,1,4,1,6,3,2,3,6,2
s048,2,4,4,7,1,5,4,7,7,7,7,4,7,3,4,4,7,1,4,1,7,2,4,1,7,7,1,7,1,7,3,1,4,7,1,4,1,7,1,4,1,6,7,1,7,1,7,2,1,3,7,1,3,1,7,1,4,1,3,7,1,6,1,7,3,1,4,7,1
s049,2,6,3,7,3,6,4,5,6,4,3,2,5,5,2,5,7,3,6,5,7,4,5,5,5,7,5,5,4,5,3,5,4,7,3,5,5,7,4,6,5,5,6,5,6,4,7,5,5,5,7,4,6,5,7,4,5,5,5,6,4,6,4,7,5,5,5,7,4
s052,2,4,4,7,5,5,5,6,6,6,7,5,4,4,6,4,5,1,5,4,5,4,5,3,6,4,3,7,3,6,5,5,5,7,1,5,3,5,3,5,3,6,6,3,6,3,7,4,4,5,7,1,4,4,5,4,5,3,6,5,3,6,3,6,1,5,5,7,1
s053,2,3,2,7,2,3,4,3,6,3,6,2,6,2,3,3,4,2,3,3,7,3,2,2,4,6,2,4,2,5,3,2,3,5,2,3,1,6,2,2,2,3,7,1,5,2,5,2,2,3,6,2,3,2,6,2,3,2,3,5,2,4,2,5,2,2,3,5,2
s054,2,4,3,4,4,4,4,4,3,3,6,2,4,3,4,4,7,2,4,4,4,4,4,5,6,5,6,6,4,5,4,5,4,7,2,4,5,5,5,5,6,4,5,5,4,5,5,4,5,4,7,2,3,3,6,4,4,4,6,6,6,6,4,6,4,5,4,7,3
s055,2,5,4,7,5,6,5,6,7,5,6,5,5,6,4,6,7,4,6,4,7,5,6,5,7,7,4,7,4,7,6,4,6,7,5,6,5,6,5,6,5,6,6,5,3,4,7,6,3,6,7,5,6,3,7,4,6,4,7,7,4,6,4,7,6,4,6,7,5
s056,2,4,4,7,4,4,3,5,6,4,6,4,7,4,5,4,7,3,4,2,7,3,4,2,6,7,2,6,2,7,4,5,4,7,2,4,2,7,2,3,2,5,7,2,6,2,7,2,4,3,7,2,4,2,7,2,4,2,4,7,3,6,2,6,3,2,3,7,3
s060,2,2,2,5,4,2,3,3,4,3,3,3,5,3,2,2,7,2,3,3,5,4,3,3,3,5,3,4,3,5,3,4,3,7,3,3,2,5,3,3,3,3,6,3,3,3,7,3,3,2,7,2,2,3,6,3,2,3,3,6,3,4,3,7,2,3,2,7,3
s062,2,5,4,7,3,6,5,5,7,6,6,3,7,6,6,6,6,1,5,2,7,3,5,5,4,6,3,5,2,2,5,5,5,4,2,6,2,6,2,5,3,4,5,4,5,1,3,6,3,5,5,2,5,2,6,2,4,4,5,5,4,6,2,5,5,5,5,6,2
s066,2,6,4,6,4,6,5,6,6,5,6,4,6,6,5,6,7,5,6,2,6,2,6,2,6,6,2,6,2,6,6,3,6,7,5,6,2,6,2,6,3,6,6,2,6,2,6,6,3,6,7,5,6,2,6,2,6,3,6,2,2,6,2,6,6,2,6,7,5
s067,2,4,3,7,4,6,5,6,7,5,6,3,6,5,4,5,3,4,5,3,7,3,5,4,6,7,4,6,2,7,4,4,5,7,3,4,3,7,4,4,4,6,7,4,5,3,6,3,4,4,7,3,5,3,7,4,4,4,6,7,4,6,3,6,4,5,4,7,3
s068,2,4,4,4,3,4,4,5,6,3,4,3,4,4,3,4,4,4,5,3,5,3,6,4,5,5,3,6,3,5,4,3,6,4,5,3,2,5,2,3,1,4,5,2,5,2,5,4,1,5,3,3,4,2,6,2,5,2,5,5,2,6,2,6,5,2,4,5,2
s069,2,5,3,7,3,6,4,6,7,4,7,3,6,5,6,6,4,4,6,4,7,4,6,5,6,7,5,7,4,7,5,6,6,2,4,6,5,7,4,6,6,7,7,4,7,4,6,6,5,6,2,6,6,4,7,4,6,6,6,7,4,7,4,6,5,5,6,1,5
s072,2,4,3,7,4,5,5,5,7,4,7,3,5,4,4,5,7,3,5,1,7,1,6,2,6,5,2,6,1,7,4,3,5,6,4,5,1,7,2,6,2,6,7,1,7,1,7,7,2,5,7,4,5,2,7,2,6,1,6,7,1,6,1,7,5,3,6,7,6
