sub_id,group_id,t1_01,t1_02,t1_03,t1_04,t1_05,t1_06,t1_07,t1_08,t1_09,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t2_01,t2_02,t2_03,t2_04,t2_05,t2_06,t2_07,t2_08,t2_09,t2_10,t2_11,t2_12,t2_13,t2_14,t2_15,t2_16,t2_17,t3_01,t3_02,t3_03,t3_04,t3_05,t3_06,t3_07,t3_08,t3_09,t3_10,t3_11,t3_12,t3_13,t3_14,t3_15,t3_16,t3_17,t4_01,t4_02,t4_03,t4_04,t4_05,t4_06,t4_07,t4_08,t4_09,t4_10,t4_11,t4_12,t4_13,t4_14,t4_15,t4_16,t4_17
s073,2,4,2,7,3,6,2,6,3,3,6,2,4,3,3,5,5,2,4,2,5,2,4,3,4,5,2,6,2,6,4,2,4,6,1,4,2,5,2,4,2,4,5,2,4,2,5,4,2,4,6,1,4,2,5,2,4,2,4,5,2,6,2,5,4,2,4,5,1
s075,2,3,4,7,2,4,5,4,7,4,7,1,7,4,2,4,7,1,3,4,7,3,3,4,4,7,5,6,3,7,3,3,3,7,1,3,4,7,3,3,4,3,7,5,5,4,7,3,4,3,7,1,3,3,7,4,3,4,3,7,4,4,3,7,3,3,3,7,3
s101,3,5,4,7,2,5,1,6,3,4,5,3,4,4,6,3,7,1,3,3,6,4,3,3,4,5,2,5,3,4,3,3,3,4,2,3,5,5,4,3,2,5,4,5,4,4,6,2,6,3,6,2,3,5,4,5,3,2,3,4,5,5,5,5,3,6,3,6,2
s102,3,3,3,7,3,4,5,4,7,4,7,3,7,4,5,2,3,1,4,5,7,5,5,5,4,7,5,7,5,7,5,5,4,3,2,5,6,7,6,5,7,4,7,6,7,6,7,4,6,4,1,2,4,5,7,5,3,6,5,7,6,7,5,7,4,6,4,1,2
s104,3,4,3,7,3,4,4,6,6,4,6,4,5,4,4,4,5,1,4,4,7,4,3,4,4,6,3,5,3,6,3,5,4,5,1,3,5,7,4,3,5,4,6,5,5,4,5,3,6,3,5,1,3,5,7,4,3,5,4,7,5,5,5,5,2,6,3,5,1
s106,3,2,2,5,3,2,2,2,3,3,6,3,3,2,5,2,6,1,1,2,4,3,1,2,2,2,2,6,2,3,2,3,2,5,1,1,2,4,2,1,2,3,3,2,5,2,4,2,3,2,5,1,1,2,3,3,2,2,2,3,2,5,2,4,2,3,2,5,1
s109,3,7,2,4,3,7,7,7,3,5,7,4,7,6,7,7,1,5,7,6,7,6,7,7,7,6,5,7,4,7,7,7,7,7,6,7,6,5,6,7,6,7,5,6,7,5,6,7,5,7,7,6,7,6,5,5,7,7,7,5,6,7,5,7,6,4,6,7,4
s110,3,5,4,7,4,5,5,5,7,6,6,4,4,3,5,4,4,1,5,3,3,3,5,4,5,1,3,7,3,1,4,4,4,5,1,4,2,1,3,4,4,4,1,3,6,2,1,4,4,4,4,1,4,3,1,3,4,4,5,1,4,7,3,1,4,4,4,3,1
s111,3,5,2,7,2,5,3,5,5,3,6,2,6,5,3,5,7,4,4,3,7,2,5,4,6,6,3,7,2,6,4,3,4,5,4,5,3,7,3,5,2,6,7,2,6,2,6,4,3,4,4,4,4,3,6,2,5,4,6,6,4,6,4,6,4,3,4,6,4
s112,3,4,5,7,6,4,4,4,4,5,4,5,4,4,5,4,7,1,5,2,4,3,5,4,4,4,3,4,3,5,4,3,5,7,4,5,4,5,4,5,4,4,4,4,4,4,7,4,4,4,7,3,4,3,5,3,4,3,4,6,4,5,3,6,4,4,4,7,2
s113,3,4,4,7,3,5,4,2,7,5,2,4,5,5,5,4,6,1,4,5,7,5,5,6,4,6,6,5,5,5,4,6,4,6,2,4,5,7,5,4,6,4,6,5,4,5,2,4,6,4,6,2,4,5,6,5,4,6,4,6,6,3,5,6,4,6,4,6,3
s114,3,5,4,7,4,5,5,7,7,3,7,3,7,5,5,4,7,3,4,3,7,3,3,3,6,7,3,7,3,7,3,5,4,7,3,4,4,7,4,4,4,6,7,4,7,3,7,3,4,3,7,3,3,3,7,3,4,4,7,7,4,7,3,7,4,5,4,7,2
s119,3,2,3,6,2,2,2,3,6,3,4,3,6,3,2,2,7,1,3,4,6,4,4,3,4,6,3,6,3,6,3,5,4,6,2,2,3,6,2,2,3,2,6,2,3,2,7,2,5,2,7,2,2,3,6,2,3,4,2,7,2,3,2,6,3,2,3,7,2
s121,3,5,5,6,5,5,6,4,5,6,4,5,3,5,6,5,6,2,5,6,5,5,5,6,4,5,6,4,5,4,5,6,5,6,2,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,6,2,5,6,5,5,5,6,5,4,6,5,5,4,5,6,5,6,2
s123,3,4,2,7,2,5,3,3,5,3,6,1,5,3,2,5,7,3,4,3,5,3,4,4,3,5,3,4,3,3,4,2,4,7,3,3,3,6,3,4,4,3,6,3,4,3,7,4,5,4,7,3,3,3,6,3,4,3,3,6,3,4,3,7,4,2,4,7,3
s124,3,5,3,4,4,6,5,7,5,4,6,3,5,6,4,5,4,3,5,3,5,3,6,5,6,6,4,6,4,5,5,4,5,4,3,5,3,5,3,6,4,5,5,4,6,3,5,5,4,5,4,4,5,3,5,3,6,4,6,5,4,6,3,5,6,4,5,5,4
s128,3,7,2,7,1,7,4,7,7,2,7,1,7,6,2,6,7,5,7,2,7,3,7,3,7,7,1,7,2,7,6,4,7,7,4,7,4,7,3,7,4,7,7,2,7,4,4,7,5,7,7,4,7,3,7,2,7,3,7,4,1,7,3,7,7,3,7,7,4
s129,3,4,4,6,3,4,5,4,5,3,6,3,7,4,6,4,7,1,5,4,7,4,5,4,5,7,4,7,4,7,5,6,5,7,2,5,4,7,3,4,5,5,7,4,6,3,7,4,6,4,7,2,4,4,7,4,5,4,6,7,4,6,4,7,4,5,3,7,2
s133,3,4,3,6,3,3,4,5,4,5,6,3,6,3,5,4,7,2,4,3,5,3,4,4,5,5,3,6,3,6,3,4,4,6,2,4,3,5,3,4,4,5,4,4,6,3,5,3,5,4,6,2,4,4,5,3,4,4,5,4,3,5,3,5,3,5,4,6,2
s134,3,4,4,7,3,3,5,4,7,4,5,4,6,4,5,4,7,2,4,3,7,3,4,4,5,7,4,5,3,7,3,5,4,7,1,2,3,7,3,2,4,3,7,5,3,4,7,2,5,2,7,1,2,4,7,3,2,4,3,7,4,4,3,7,2,5,2,7,1
s135,3,3,4,7,3,4,4,5,7,5,6,4,7,3,6,3,7,3,4,3,7,3,4,2,5,7,3,6,3,7,3,3,3,7,2,4,4,7,3,2,4,5,7,4,3,3,6,5,4,3,7,2,3,3,4,3,3,4,4,4,3,3,3,5,3,4,3,7,3
s136,3,4,3,7,3,4,4,4,6,3,7,1,7,3,5,3,7,2,4,3,7,3,4,4,5,7,3,7,2,7,4,6,4,7,1,4,4,7,3,4,4,5,7,4,7,4,7,3,7,3,7,1,4,4,7,3,4,4,5,7,4,7,3,6,4,5,4,7,1
s137,3,3,4,7,2,5,4,5,6,2,5,2,4,4,2,5,3,1,5,5,5,4,7,6,5,5,4,5,4,2,4,5,5,2,1,5,5,4,5,5,5,3,3,6,3,4,3,4,5,4,4,1,5,5,3,5,4,5,4,3,6,3,5,2,4,5,4,5,1
s141,3,4,3,7,3,5,5,3,7,5,6,3,2,6,4,7,7,3,5,4,7,4,6,6,5,7,6,5,4,7,6,4,6,7,5,5,4,7,4,4,6,5,7,5,6,4,2,6,4,6,7,3,4,4,7,4,5,6,6,7,5,5,4,6,5,5,5,7,2
s142,3,7,2,7,2,7,4,6,7,2,6,2,6,5,2,5,6,2,6,3,7,3,7,3,6,6,3,6,3,6,6,3,6,6,2,6,2,6,2,5,3,5,6,2,5,2,6,5,2,5,6,2,6,2,6,2,5,3,5,6,2,5,2,6,4,3,5,6,3
s145,3,5,1,7,1,5,1,4,7,4,6,1,4,4,3,5,5,2,5,3,5,3,5,4,5,5,4,5,3,4,5,4,5,6,2,3,4,5,4,3,5,5,5,7,4,3,5,3,4,3,4,1,3,4,4,4,2,3,3,4,7,3,3,4,3,3,3,4,1
s146,3,4,3,7,4,5,4,6,7,5,6,3,7,5,5,5,7,2,5,3,7,3,5,4,6,7,3,6,2,6,5,5,5,6,3,5,3,7,4,4,5,4,7,5,5,3,6,4,4,5,6,3,5,4,7,4,4,3,5,7,5,5,3,7,4,4,4,6,3
s154,3,5,4,7,3,6,6,6,7,4,7,3,6,7,4,7,7,6,6,6,7,5,7,7,7,7,6,7,5,7,7,5,7,7,7,7,5,7,5,7,6,7,7,5,6,5,7,7,6,7,7,5,6,5,7,5,7,5,7,7,5,6,4,7,7,3,7,7,6
s156,3,5,2,4,1,5,4,6,5,2,6,1,3,4,2,5,5,2,4,2,3,2,4,4,5,3,2,5,2,3,4,2,4,6,3,5,2,3,2,5,3,5,3,3,4,2,4,4,3,4,5,2,4,2,3,2,4,2,4,3,3,4,2,5,4,3,4,5,3
s158,3,3,4,7,3,3,3,5,6,4,6,3,4,3,5,3,5,1,4,2,7,2,4,3,6,6,3,7,2,6,5,4,5,4,4,5,3,7,3,5,5,6,7,4,7,3,5,6,3,5,4,3,6,3,5,3,6,5,6,5,4,7,2,5,5,3,6,4,4
s160,3,5,3,5,4,4,5,3,3,6,3,2,4,5,5,4,6,1,4,4,2,3,5,5,5,2,4,7,3,2,5,5,4,5,3,5,3,2,3,5,4,5,2,4,6,2,2,5,4,5,5,3,4,3,2,3,4,4,4,2,3,5,2,3,4,3,4,6,2
s161,3,3,3,5,4,4,3,5,2,4,6,3,5,4,3,4,6,3,4,4,2,4,5,5,5,2,5,6,4,3,4,5,4,6,3,4,5,2,4,4,5,5,2,5,6,5,6,4,6,4,6,4,3,4,2,4,4,5,4,2,4,5,5,6,4,5,4,6,3
s163,3,5,4,5,4,5,6,6,6,5,7,4,6,6,4,5,7,4,6,7,5,5,7,7,6,6,6,7,6,6,6,6,6,1,5,6,6,5,6,5,7,6,5,6,7,5,6,5,5,6,3,4,5,5,6,5,4,7,7,5,6,7,5,4,5,6,5,7,4
s164,3,6,2,3,3,5,3,6,4,3,7,2,3,5,4,5,7,2,6,3,3,3,5,5,6,4,3,7,3,3,5,5,5,7,2,6,4,3,3,5,5,6,4,5,6,3,4,5,5,5,7,2,6,3,3,4,5,4,6,3,4,6,3,4,5,5,5,7,2
s167,3,6,3,3,4,6,6,6,7,5,1,3,7,4,3,4,3,3,6,4,6,5,6,5,6,7,4,6,4,5,6,4,6,5,1,4,6,5,5,3,6,3,6,5,5,5,3,4,5,4,5,5,5,5,5,6,5,6,4,7,6,6,5,5,5,6,5,5,3
s169,3,3,4,7,5,3,3,2,5,1,4,3,4,2,6,2,2,3,5,4,7,5,5,5,5,5,3,5,4,5,4,5,5,5,4,6,6,7,6,6,6,6,5,5,5,5,5,5,6,5,7,5,3,6,6,6,4,5,5,5,6,5,6,5,3,6,4,4,4
s170,3,5,4,7,4,5,4,7,1,4,2,4,6,4,7,4,4,2,5,4,3,4,5,4,5,3,4,4,4,5,5,6,5,4,3,4,5,4,5,4,5,5,3,4,5,4,5,3,5,4,4,3,4,5,3,4,5,4,5,3,5,5,4,4,4,5,4,4,4
s172,3,5,4,3,5,4,6,6,3,4,7,3,3,3,5,5,4,2,5,5,4,5,6,5,6,5,4,7,4,6,5,6,6,6,6,5,3,4,4,5,3,5,3,3,6,3,2,4,5,5,5,4,5,3,4,4,5,4,5,4,3,6,3,4,4,4,5,5,4
s173,3,4,5,7,3,4,2,7,7,6,6,3,7,4,7,5,7,3,3,2,7,2,3,3,5,7,4,6,4,7,2,5,3,7,2,3,4,7,3,2,3,4,7,5,4,2,1,2,7,4,7,2,4,5,7,3,3,2,5,7,4,7,4,7,2,7,4,7,2
s175,3,5,3,6,4,5,3,5,4,3,6,3,4,5,3,5,5,3,6,3,4,3,6,3,6,4,3,7,3,4,6,3,6,4,4,6,5,4,5,6,6,7,4,5,7,5,4,6,5,6,4,4,6,4,4,5,6,5,6,4,5,7,5,4,6,6,6,4,4
s100,4,3,2,7,2,3,2,5,7,5,7,2,7,3,4,3,7,1,3,3,7,2,4,3,5,7,4,7,3,7,3,5,4,7,1,4,3,7,2,4,4,5,7,5,7,3,7,3,5,4,7,1,3,3,7,2,4,4,5,7,5,7,3,7,3,5,3,7,1
s103,4,4,2,6,1,5,2,5,6,2,6,2,7,6,2,6,3,3,4,2,5,1,6,3,6,6,3,6,1,5,4,2,4,5,2,4,2,4,1,3,2,5,4,2,4,2,3,4,2,3,5,2,3,1,3,1,3,2,5,3,1,4,1,3,3,2,2,5,1
s105,4,5,2,5,2,6,3,6,5,3,7,1,6,5,5,5,6,5,6,2,6,2,5,3,6,5,2,6,2,6,6,5,5,6,5,6,2,5,2,5,3,6,6,3,6,2,6,6,4,5,5,5,5,3,5,2,5,3,6,6,4,6,3,6,5,3,6,6,5
s107,4,5,3,7,3,5,4,7,7,5,7,3,4,4,4,4,5,2,5,3,7,4,5,4,6,7,4,6,3,5,3,4,5,6,2,4,2,7,3,3,2,5,7,3,6,2,4,4,4,4,6,2,4,3,6,3,3,3,4,6,4,6,2,3,4,4,3,6,1
s108,4,5,3,7,1,5,4,4,6,3,6,1,4,3,5,3,7,1,4,1,7,1,4,3,5,6,1,4,1,4,3,2,5,5,1,3,1,6,1,3,2,3,7,1,5,1,4,3,2,5,6,2,3,1,6,1,4,2,4,3,1,5,1,2,3,3,4,7,2
s115,4,5,3,7,3,5,4,6,7,4,6,2,7,3,3,4,7,2,3,2,7,3,3,2,4,7,3,5,3,7,3,4,3,7,1,3,3,7,3,3,2,5,7,3,4,3,7,2,4,3,7,1,3,2,7,2,4,3,5,7,3,4,2,7,3,5,3,7,2
s116,4,4,2,3,3,4,4,6,4,2,5,2,5,4,4,4,5,1,5,3,3,3,5,3,5,3,4,6,3,5,5,4,4,5,3,4,4,3,2,5,4,6,3,3,6,3,5,4,4,4,6,4,4,3,3,3,4,4,6,3,3,6,3,5,4,3,4,5,3
s117,4,3,3,6,2,3,3,5,6,4,5,3,6,3,4,4,6,3,3,2,6,2,3,2,5,6,3,5,2,6,3,3,3,6,3,3,2,6,2,3,2,5,6,3,5,2,6,3,3,3,6,3,3,2,6,2,3,3,5,6,3,6,2,6,3,3,3,6,2
s118,4,2,1,7,2,3,6,5,7,4,7,2,7,3,2,3,7,2,3,2,7,3,3,2,4,7,3,7,2,7,4,2,3,7,2,2,2,7,3,2,2,4,7,3,7,2,7,2,2,3,7,1,2,2,7,3,2,3,3,7,3,6,1,7,3,3,3,7,2
s120,4,5,4,6,4,5,5,3,7,5,1,4,7,6,4,5,7,3,5,3,7,3,5,4,3,7,3,4,3,7,4,3,4,7,4,4,3,7,4,4,4,5,7,4,4,3,7,5,2,5,7,3,4,3,7,4,5,4,4,7,4,4,3,7,5,3,5,7,4
s122,4,6,5,7,6,6,7,5,5,6,3,6,3,6,4,6,4,4,6,3,7,4,6,4,6,4,3,6,4,5,5,3,6,4,5,5,5,5,5,6,6,5,4,5,6,5,4,6,4,6,5,5,6,5,5,4,6,5,6,5,4,6,4,4,6,4,6,5,5
s125,4,6,4,5,4,7,6,6,5,5,7,5,5,6,3,7,4,6,7,5,5,4,7,5,6,5,5,6,5,6,7,4,7,4,7,7,5,5,4,6,5,6,5,5,6,5,6,7,5,6,3,6,7,5,5,4,6,5,6,5,4,6,5,6,6,6,6,3,6
s126,4,5,3,6,4,5,5,4,6,4,3,3,5,3,4,4,6,4,5,4,5,4,4,5,4,6,4,5,3,5,4,5,3,6,3,5,4,6,4,4,5,4,6,5,4,3,6,4,5,4,6,4,5,4,6,4,4,5,4,6,4,5,3,6,4,4,5,6,4
s127,4,4,3,3,5,4,4,5,1,4,6,4,1,4,5,4,4,2,4,3,1,4,4,3,5,2,4,6,4,1,4,4,4,6,3,4,3,1,4,4,4,5,1,4,6,4,1,4,5,4,6,3,4,4,2,4,4,4,5,1,5,5,4,1,4,5,4,6,3
s130,4,4,4,7,4,5,5,5,4,5,5,3,6,3,6,3,5,2,4,2,7,3,3,3,5,5,3,5,3,7,4,4,3,5,1,3,3,4,3,4,3,5,4,3,6,3,4,4,4,3,5,1,4,3,3,3,4,4,5,4,3,6,3,4,4,4,5,5,1
s131,4,2,1,7,3,2,3,3,5,4,6,3,4,2,4,3,4,2,2,2,5,3,3,2,4,5,3,7,2,5,3,4,1,4,1,1,2,5,1,2,1,5,5,1,4,2,5,2,4,3,3,1,1,2,4,2,1,1,5,4,1,3,2,5,2,6,1,4,1
s132,4,2,2,4,2,3,2,4,3,3,7,2,5,3,3,3,5,1,3,3,5,3,4,3,5,4,3,6,3,5,3,4,3,6,1,3,2,4,3,3,2,3,4,2,6,2,5,3,5,3,5,1,3,3,4,3,3,3,3,4,3,5,3,5,3,3,3,5,1
s138,4,2,2,5,2,3,3,5,3,4,6,3,7,3,4,3,6,2,1,1,5,2,4,3,6,3,3,7,2,6,4,5,4,6,3,4,3,3,3,4,4,6,4,3,7,3,6,3,5,4,6,3,3,3,4,3,4,3,6,3,4,7,3,6,4,5,4,7,2
s139,4,4,3,6,4,3,3,4,7,3,5,3,6,4,3,3,6,2,3,3,6,2,3,3,3,6,2,5,2,6,3,2,2,6,2,2,2,6,3,2,2,4,6,2,5,2,6,3,3,3,6,2,3,3,6,3,3,2,3,6,2,6,2,6,3,2,2,6,2
s140,4,3,2,6,4,6,3,6,2,3,7,3,2,4,2,4,6,1,4,3,5,2,5,3,7,2,2,6,2,3,6,2,6,5,2,4,3,5,3,5,3,6,3,2,7,3,4,5,3,5,4,3,4,2,3,3,5,3,7,2,3,7,2,3,5,5,5,6,3
s143,4,4,2,7,3,4,3,4,7,2,6,2,7,2,2,4,5,2,3,2,6,3,5,3,4,6,2,6,2,6,4,2,5,6,2,4,1,5,2,4,2,4,5,2,5,1,6,3,1,4,6,2,4,3,5,2,4,2,4,5,3,5,2,5,4,2,4,6,3
s144,4,6,3,7,3,6,5,7,7,4,7,3,7,5,6,6,7,4,6,3,7,3,6,2,6,7,3,6,3,7,5,3,5,7,5,6,3,7,3,5,4,6,7,3,6,3,7,5,5,5,7,5,6,3,7,3,6,3,6,7,4,6,3,7,5,4,6,7,4
s147,4,3,5,6,4,3,5,6,3,3,5,3,4,4,5,2,6,2,4,3,5,3,3,3,4,4,2,6,2,4,4,3,4,4,3,3,3,3,3,3,3,4,3,2,4,3,4,4,3,4,4,2,3,3,3,4,4,4,5,3,3,4,3,5,4,4,4,5,3
s148,4,4,4,7,3,3,5,4,7,4,5,4,7,4,5,4,7,1,4,2,7,1,3,1,5,7,1,6,1,7,4,1,3,7,1,3,1,7,2,2,1,3,7,1,3,1,4,3,1,3,4,6,3,1,7,3,3,2,4,7,1,4,1,5,3,5,3,4,5
s149,4,5,2,7,3,4,2,4,7,4,5,3,7,3,4,4,7,1,5,2,7,2,4,3,4,7,4,5,3,7,4,4,3,7,2,4,3,7,3,4,3,5,7,4,5,3,7,3,5,4,7,2,4,3,7,2,4,4,5,7,4,4,2,7,3,4,4,7,3
s150,4,2,2,7,2,2,2,2,7,5,5,2,6,1,3,3,6,1,2,1,7,2,2,2,2,7,3,3,2,5,1,2,1,6,1,2,2,7,2,2,3,2,7,3,3,2,5,2,2,2,7,1,2,2,7,2,2,2,2,7,3,2,2,5,1,2,2,7,1
s151,4,6,4,4,4,6,6,7,4,4,7,5,6,7,6,7,5,6,6,2,6,2,7,4,7,7,2,7,2,7,7,3,7,7,5,7,4,7,4,7,5,7,7,4,7,4,7,7,4,7,7,6,7,4,7,4,7,4,7,7,4,7,4,6,7,5,7,7,6
s152,4,4,2,7,2,4,2,7,4,3,7,2,7,4,3,4,7,3,5,2,4,2,6,1,7,4,2,7,2,7,6,3,5,7,4,5,3,5,2,6,3,7,5,3,6,2,5,5,5,5,7,4,5,2,6,2,6,1,7,4,2,7,2,6,6,3,5,7,5
s153,4,4,3,4,2,3,4,3,4,2,3,2,5,3,3,3,5,2,4,2,5,2,3,3,4,5,2,4,3,5,3,3,3,5,3,4,2,5,2,4,3,3,5,3,3,2,5,2,2,3,6,2,3,2,5,2,3,3,3,5,2,3,2,5,2,3,2,5,2
s155,4,5,3,6,3,5,6,6,7,3,7,4,7,2,4,2,7,1,4,2,6,2,4,2,5,7,2,4,2,7,2,2,4,7,2,4,3,7,2,5,3,6,7,2,6,3,7,2,2,5,7,2,4,2,7,2,5,3,5,7,2,6,2,7,2,3,4,7,2
s157,4,4,5,7,5,4,5,5,7,6,5,4,7,4,5,4,7,4,5,3,7,2,5,3,5,7,3,6,2,7,4,3,4,7,3,3,2,7,2,3,3,4,7,2,6,2,7,5,2,4,7,3,4,3,7,3,4,3,4,7,2,5,3,7,4,3,4,6,3
s159,4,5,4,6,4,6,7,4,4,4,6,4,6,4,5,5,6,4,3,2,4,3,3,2,5,4,1,6,2,4,4,2,3,3,2,4,4,4,4,6,6,5,4,3,7,4,5,6,5,4,5,4,4,4,5,4,5,3,6,4,3,7,3,6,5,6,5,7,4
s162,4,6,4,7,4,7,5,6,4,5,6,5,6,6,4,6,6,2,6,3,6,3,5,3,6,5,3,7,3,6,6,5,5,5,4,5,4,5,4,5,5,6,4,5,6,5,4,5,4,5,6,2,5,4,6,5,6,5,6,4,4,6,4,6,5,3,6,6,2
s165,4,2,2,7,3,4,4,5,7,4,6,2,7,4,3,4,6,1,4,3,7,3,5,3,4,7,3,5,3,7,5,4,5,7,1,4,2,7,2,5,2,5,7,3,7,2,7,6,2,5,7,1,6,2,7,3,5,3,4,7,2,6,2,7,4,3,4,7,3
s166,4,4,2,4,2,4,4,6,4,1,7,2,6,4,6,4,7,4,4,2,2,2,5,3,1,2,3,1,2,5,5,3,5,1,4,5,3,5,3,5,3,7,2,2,7,2,2,6,3,5,6,5,3,2,2,2,6,2,7,2,2,6,2,6,5,6,5,6,5
s168,4,4,3,7,4,5,4,3,7,5,4,4,5,4,4,3,7,3,6,2,7,3,6,4,6,7,2,7,2,7,5,2,5,7,3,3,2,7,2,3,3,2,7,3,3,2,6,2,1,3,4,1,3,2,7,3,3,4,3,6,3,4,3,4,3,2,3,6,2
s171,4,7,5,6,6,7,7,7,6,5,7,5,1,7,4,7,2,1,7,5,6,5,7,6,7,6,3,7,3,4,7,4,7,2,2,6,4,5,4,6,5,7,4,2,7,4,2,7,5,5,7,2,6,4,4,4,7,5,7,4,2,7,4,4,6,3,7,1,2
s174,4,3,1,7,4,3,3,4,1,2,5,1,4,2,1,2,4,2,4,3,3,2,4,3,3,3,3,6,1,4,2,3,3,5,2,3,2,3,2,3,2,4,2,3,5,2,3,2,4,2,5,2,2,2,3,3,3,2,4,2,2,4,2,3,2,3,2,4,3
